FRAME_NO,Bike_Area,Car_Area,Ocuupied_Area,Ocuupied_Area_Percentage,Density,Flow
1,6576,20673,27249,8.902807182623697,3.645852484796141,8.902807182623697
2,7605,46505,54110,17.678846807287172,7.23979147683655,17.678846807287172
3,12020,42728,54748,17.88729449279908,7.325154385027675,17.88729449279908
4,12777,54021,66798,21.8242766407904,8.937416209013637,21.8242766407904
5,11055,55135,66190,21.625630570584697,8.85606723067476,21.625630570584697
6,14634,46392,61026,19.938445855877053,8.165136105441276,19.93844585587705
7,2215,66927,69142,22.59010951671502,9.251037928135887,22.59010951671502
8,7264,38024,45288,14.796518466243233,6.059428504952387,14.796518466243233
9,3373,52421,55794,18.22904414647534,7.465106739209361,18.22904414647534
10,9854,57357,67211,21.95921221150579,8.992674643312908,21.95921221150579
11,4314,58207,62521,20.42689301863614,8.365163609744927,20.42689301863614
12,8901,55645,64546,21.0885020518048,8.636103874771612,21.0885020518048
13,6316,60088,66404,21.695548759768943,8.884699930287457,21.69554875976894
14,6387,37730,44117,14.413928748791133,5.902751443053005,14.413928748791133
15,11990,45262,57252,18.705402650356774,7.660183730028574,18.705402650356774
16,6670,44064,50734,16.575838364829195,6.788090570797,16.575838364829195
17,6656,44061,50717,16.570284116155676,6.785816010547392,16.570284116155676
18,11543,69806,81349,26.578386784808806,10.884305985015278,26.578386784808806
19,14033,54668,68701,22.446025771713842,9.19203315930785,22.446025771713842
20,16029,48123,64152,20.959774170783348,8.583387596045435,20.959774170783348
21,10587,52001,62588,20.448783292819996,8.374128053081616,20.44878329282
22,11662,49436,61098,19.961969732611934,8.174769537086668,19.961969732611934
23,12114,35167,47281,15.447672443085287,6.326087244803344,15.447672443085285
24,3287,36278,39565,12.926696986330011,5.293704486805361,12.926696986330011
25,4706,44099,48805,15.945594500640373,6.529994881297504,15.945594500640373
26,4723,23037,27760,9.069761363339344,3.714223089946085,9.069761363339344
27,13580,43095,56675,18.516884915967484,7.582982479203688,18.516884915967484
28,11283,36261,47544,15.533599937269663,6.361276029841379,15.533599937269663
