FRAME_NO,Bike_Area,Car_Area,Ocuupied_Area,Ocuupied_Area_Percentage
1,6576,20673,27249,8.902807182623697
2,7605,46505,54110,17.678846807287172
3,12020,42728,54748,17.88729449279908
4,12777,54021,66798,21.8242766407904
5,11055,55135,66190,21.6256305705847
6,14634,46392,61026,19.93844585587705
7,2215,66927,69142,22.59010951671502
8,7264,38024,45288,14.796518466243235
9,3373,52421,55794,18.22904414647534
10,9854,57357,67211,21.95921221150579
11,4314,58207,62521,20.42689301863614
12,8901,55645,64546,21.088502051804802
13,6316,60088,66404,21.695548759768943
14,6387,37730,44117,14.413928748791133
15,11990,45262,57252,18.705402650356778
16,6670,44064,50734,16.575838364829192
17,6656,44061,50717,16.570284116155676
18,11543,69806,81349,26.578386784808806
19,14033,54668,68701,22.446025771713845
20,16029,48123,64152,20.959774170783348
21,10587,52001,62588,20.448783292819993
22,11662,49436,61098,19.961969732611934
23,12114,35167,47281,15.447672443085287
24,3287,36278,39565,12.926696986330013
25,4706,44099,48805,15.945594500640373
26,4723,23037,27760,9.069761363339344
27,13580,43095,56675,18.516884915967484
28,11283,36261,47544,15.533599937269663
