Frame_NO,BIKES_DETECTED,CARS_DETECTED,Total_vehicle,Density
1,5,5,10,0.35714285714285715
2,7,7,14,0.5
3,10,10,20,0.7142857142857143
4,10,11,21,0.75
5,10,9,19,0.6785714285714286
6,14,6,20,0.7142857142857143
7,2,8,10,0.35714285714285715
8,6,5,11,0.39285714285714285
9,3,9,12,0.42857142857142855
10,8,9,17,0.6071428571428571
11,3,8,11,0.39285714285714285
12,9,9,18,0.6428571428571429
13,5,8,13,0.4642857142857143
14,6,6,12,0.42857142857142855
15,10,8,18,0.6428571428571429
16,6,7,13,0.4642857142857143
17,7,8,15,0.5357142857142857
18,10,10,20,0.7142857142857143
19,12,8,20,0.7142857142857143
20,13,9,22,0.7857142857142857
21,8,11,19,0.6785714285714286
22,9,8,17,0.6071428571428571
23,8,7,15,0.5357142857142857
24,3,5,8,0.2857142857142857
25,4,7,11,0.39285714285714285
26,4,3,7,0.25
27,12,7,19,0.6785714285714286
28,11,7,18,0.6428571428571429
