Frame_NO,BIKES_DETECTED,CARS_DETECTED,Total_vehicle_detected,Manual_Bike_results,Manual_Car_results,Total_manual_results
1,5,5,10,7,5,12
2,7,7,14,7,7,14
3,10,10,20,11,10,21
4,10,11,21,8,9,17
5,10,9,19,7,11,18
6,14,6,20,15,8,23
7,2,8,10,2,9,11
8,6,5,11,6,5,11
9,3,9,12,6,8,14
10,8,9,17,11,9,20
11,3,8,11,5,8,13
12,9,9,18,8,10,18
13,5,8,13,9,8,17
14,6,6,12,7,6,13
15,10,8,18,10,9,19
16,6,7,13,10,8,18
17,7,8,15,7,10,17
18,10,10,20,13,12,25
19,12,8,20,15,8,23
20,13,9,22,22,9,31
21,8,11,19,11,12,23
22,9,8,17,6,11,17
23,8,7,15,10,8,18
24,3,5,8,4,5,9
25,4,7,11,3,9,12
26,4,3,7,2,4,6
27,12,7,19,12,9,21
28,11,7,18,7,12,19
